new_ID,Travel-accompany2,Q3,Q3_gr,Q3A,Q3B,Q3C,Q3D,Q3E,Child,Adult,Final_Group_Q3,Returned_Travel_Accompany,Accompaniment_schoolreturn,Fluctuation#7,Q7A,Q7B,Q7C,Q7D,Q7E,Child,Adult,Age,Duplicate,Gender,Grade,TYPEOFSC,shift_school,School transport,Transport_2or3wheelers,Travel_Accompany,Travel-accompany1,Travel-accompany2,TimeSchool,time_school,SchoolHomeTransport,home_schooltransportusual,Returned_Travel_Accompany,Parents_Trust,Cross_road,Allow_Public_Bus,Visit_Friend_Home,Visit_Relatives,Worship_Place,Visit_Shop,Dineout,Visit_Cinema,Friends_Dark,Play_Ground,Play_Score,Went_for_Walk,Went_Concert,Went_Club,Library,Café,Tuition,Part_time_work,Any_Activity,activity_alone,activity_independent,Q15R,weekend,RTI,RTI_Consult,
5,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,12,12,Boy,6,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,< 5 mins,15 min or less,Car,4 wheelers,Mix,Never,No,No,Not Done,Not Done,With a parent or other adult,With a parent or other adult,With a parent or other adult,Not Done,With a parent or other adult,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
78,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,12,12,Girl,7,Private,morning shift only,walk,Walking,Mix,Mix,Mix,5 to 15 mins,15 min or less,Walking,walk,Mix,Sometime,No,No,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
456,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,12,12,Girl,6,Private,morning shift only,walk,Walking,Mix,Mix,Mix,5 to 15 mins,15 min or less,Walking,walk,Mix,Sometime,Yes,No,On Your own or with other young person,With a parent or other adult,Not Done,On Your own or with other young person,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
600,Merged Parent and Adult,Merged Parent and Adult,Adult,0,1,0,0,0,0,1,Adult,Mix,Mixed,TRUE,0,0,1,0,1,1,1,12,12,Boy,7,Private,morning shift only,Motorcycle,2 or 3 wheelers,Parent,Parent,Merged Parent and Adult,16 to 30 mins,16-30 min,School Van,4 wheelers,Mix,Never,No,No,Not Done,With a parent or other adult,With a parent or other adult,Not Done,With a parent or other adult,Not Done,Not Done,With a parent or other adult,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
608,Mix,Mix,Mixed,0,1,0,1,0,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,1,0,1,1,12,12,Girl,7,Private,morning shift only,Motorcycle,2 or 3 wheelers,Mix,Mix,Mix,16 to 30 mins,16-30 min,Motorbike,2 or 3 wheelers,Mix,Never,No,No,With a parent or other adult,With a parent or other adult,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
807,Mix,Mix,Mixed,0,0,1,1,0,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,1,0,1,1,12,12,Girl,7,Public,morning shift only,walk,Walking,Mix,Mix,Mix,5 to 15 mins,15 min or less,Walking,walk,Mix,Never,No,No,Not Done,With a parent or other adult,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
846,Merged Parent and Adult,Merged Parent and Adult,Adult,0,1,0,0,0,0,1,Adult,Mix,Mixed,TRUE,0,1,0,1,0,1,1,12,12,Girl,7,Public,morning shift only,Car,Four wheelers,Parent,Parent,Merged Parent and Adult,< 5 mins,15 min or less,Walking,walk,Mix,Never,No,No,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,no visit,0,No Activity,no activity,0,0,#REF!
32,Mix,Mix,Mixed,1,0,1,0,0,1,1,Mixed,Mix,Mixed,TRUE,1,0,1,0,0,1,1,13,13,Girl,6,Private,morning shift only,walk,Walking,Mix,Mix,Mix,< 5 mins,15 min or less,Walking,walk,Mix,Always,Yes,No,On Your own or with other young person,With a parent or other adult,Not Done,On Your own or with other young person,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
248,Mix,Mix,Mixed,1,0,1,0,0,1,1,Mixed,Mix,Mixed,TRUE,1,0,1,0,0,1,1,13,13,Boy,8,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,16 to 30 mins,16-30 min,School Bus,4 wheelers,Mix,Sometime,Yes,No,Not Done,With a parent or other adult,On Your own or with other young person,On Your own or with other young person,With a parent or other adult,Not Done,With a parent or other adult,With a parent or other adult,With a parent or other adult,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
250,Mix,Mix,Mixed,0,1,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,1,0,1,1,1,13,13,Boy,8,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,Car,4 wheelers,Mix,Sometime,Yes,No,On Your own or with other young person,With a parent or other adult,On Your own or with other young person,On Your own or with other young person,With a parent or other adult,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
262,Merged Parent and Adult,Merged Parent and Adult,Adult,0,0,1,0,0,0,1,Adult,Mix,Mixed,TRUE,0,0,1,0,1,1,1,13,13,Girl,8,Private,morning shift only,Car,Four wheelers,Another adult,Another Adult,Merged Parent and Adult,5 to 15 mins,15 min or less,Car,4 wheelers,Mix,Never,Yes,No,Not Done,With a parent or other adult,With a parent or other adult,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
450,Mix,Mix,Mixed,0,1,0,1,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,13,13,Girl,6,Private,morning shift only,walk,Walking,Mix,Mix,Mix,< 5 mins,15 min or less,Walking,walk,Mix,Always,Yes,No,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,visit with adult,2,There was an activity,activity,0,0,#REF!
501,Merged Parent and Adult,Merged Parent and Adult,Adult,0,1,0,0,0,0,1,Adult,Mix,Mixed,TRUE,0,1,0,0,1,1,1,13,13,Boy,6,Private,morning shift only,walk,Walking,Parent,Parent,Merged Parent and Adult,< 5 mins,15 min or less,Walking,walk,Mix,Sometime,Yes,missing,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,visit alone,1,There was an activity,activity,0,0,#REF!
523,Mix,Mix,Mixed,0,0,1,1,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,1,1,1,1,13,13,Boy,9,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,Car,4 wheelers,Mix,Sometime,Yes,No,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,With a parent or other adult,Not Done,Not Done,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
520,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,14,14,Boy,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,School Van,4 wheelers,Mix,Always,Yes,No,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,With a parent or other adult,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
524,Mix,Mix,Mixed,0,1,0,1,0,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,1,0,1,1,14,14,Boy,9,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,16 to 30 mins,16-30 min,Car,4 wheelers,Mix,Sometime,Yes,Yes,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,With a parent or other adult,With a parent or other adult,Not Done,On Your own or with other young person,On Your own or with other young person,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
525,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,14,14,Boy,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,16 to 30 mins,16-30 min,School Bus,4 wheelers,Mix,Sometime,Yes,No,On Your own or with other young person,With a parent or other adult,On Your own or with other young person,On Your own or with other young person,With a parent or other adult,With a parent or other adult,On Your own or with other young person,Not Done,On Your own or with other young person,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
529,Mix,Mix,Mixed,0,0,1,1,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,1,1,1,1,14,14,Girl,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,> 46 mins,more than 30 min,School Van,4 wheelers,Mix,Always,Yes,No,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
530,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,14,14,Girl,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,School Van,4 wheelers,Mix,Always,No,No,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,mix,2,No Activity,activity,1,1,#REF!
533,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,14,14,Boy,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,16 to 30 mins,16-30 min,School Bus,4 wheelers,Mix,Sometime,Yes,Yes,Not Done,On Your own or with other young person,With a parent or other adult,On Your own or with other young person,Not Done,Not Done,On Your own or with other young person,On Your own or with other young person,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
534,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,14,14,Boy,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,16 to 30 mins,16-30 min,School Van,4 wheelers,Mix,Always,No,No,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
535,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,14,14,Boy,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,School Van,4 wheelers,Mix,Sometime,Yes,No,On Your own or with other young person,Not Done,With a parent or other adult,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,0,0,#REF!
538,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,14,14,Boy,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,> 46 mins,more than 30 min,School Van,4 wheelers,Mix,Never,No,No,Not Done,Not Done,With a parent or other adult,With a parent or other adult,Not Done,Not Done,On Your own or with other young person,On Your own or with other young person,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,1,1,#REF!
603,Alone/Same Age,Alone/Same Age,Child,0,0,0,0,1,1,0,Child,Mix,Mixed,TRUE,0,1,0,0,1,1,1,14,14,Girl,7,Private,morning shift only,walk,Walking,Child of same age or younger,Alone/Same Age,Alone/Same Age,5 to 15 mins,15 min or less,Walking,walk,Mix,Never,No,No,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
752,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,14,14,Girl,8,Private,morning shift only,Car,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,Motorbike,2 or 3 wheelers,Mix,Sometime,Yes,No,On Your own or with other young person,With a parent or other adult,Not Done,On Your own or with other young person,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Mix,mix,2,There was an activity,activity,1,1,#REF!
232,Alone/Same Age,Alone/Same Age,Child,0,0,0,0,1,1,0,Child,Mix,Mixed,TRUE,0,0,1,1,0,1,1,15,15,Girl,9,Private,morning shift only,walk,Walking,Child of same age or younger,Alone/Same Age,Alone/Same Age,5 to 15 mins,15 min or less,Motorbike,2 or 3 wheelers,Mix,Never,Yes,No,Not Done,On Your own or with other young person,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,1,1,#REF!
526,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,15,15,Girl,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,School Van,4 wheelers,Mix,Always,No,Yes,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,visit alone,1,There was an activity,activity,1,1,#REF!
537,Mix,Mix,Mixed,0,0,1,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,0,1,1,1,15,15,Boy,9,Private,morning shift only,school bus/van,Four wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,School Van,4 wheelers,Mix,Never,Yes,No,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,visit alone,1,There was an activity,activity,0,0,#REF!
808,Merged Parent and Adult,Merged Parent and Adult,Adult,0,0,1,0,0,0,1,Adult,Mix,Mixed,TRUE,0,0,1,1,0,1,1,15,15,Girl,7,Public,morning shift only,Rickshaw,2 or 3 wheelers,Another adult,Another Adult,Merged Parent and Adult,< 5 mins,15 min or less,Rickshaw,2 or 3 wheelers,Mix,Sometime,No,No,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,no visit,0,No Activity,no activity,0,0,#REF!
465,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,16,16,Girl,10,Private,morning shift only,walk,Walking,Mix,Mix,Mix,5 to 15 mins,15 min or less,Motorbike,2 or 3 wheelers,Mix,Sometime,No,No,Not Done,Not Done,Not Done,With a parent or other adult,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,1,1,#REF!
992,Merged Parent and Adult,Merged Parent and Adult,Adult,0,1,0,0,0,0,1,Adult,Mix,Mixed,TRUE,0,1,0,0,1,1,1,16,16,Girl,8,Public,morning shift only,Motorcycle,2 or 3 wheelers,Parent,Parent,Merged Parent and Adult,16 to 30 mins,16-30 min,Motorbike,4 wheelers,Mix,Sometime,Yes,Yes,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
571,Mix,Mix,Mixed,0,1,0,0,1,1,1,Mixed,Mix,Mixed,TRUE,0,1,0,0,1,1,1,17,17,Girl,10,Private,morning shift only,Motorcycle,2 or 3 wheelers,Mix,Mix,Mix,16 to 30 mins,16-30 min,Motorbike,2 or 3 wheelers,Mix,Sometime,No,No,On Your own or with other young person,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Mix,mix,2,There was an activity,activity,1,0,#REF!
1053,Mix,Mix,Mixed,0,0,1,1,0,1,1,Mixed,Mix,Mixed,TRUE,0,0,1,1,0,1,1,17,17,Girl,9,Public,morning shift only,Motorcycle,2 or 3 wheelers,Mix,Mix,Mix,5 to 15 mins,15 min or less,Motorbike,2 or 3 wheelers,Mix,Sometime,No,No,With a parent or other adult,With a parent or other adult,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,1,0,#REF!
1080,Merged Parent and Adult,Merged Parent and Adult,Adult,0,1,0,0,0,0,1,Adult,Mix,Mixed,TRUE,0,1,0,0,1,1,1,17,17,Girl,9,Public,morning shift only,Motorcycle,2 or 3 wheelers,Parent,Parent,Merged Parent and Adult,< 5 mins,15 min or less,Motorbike,2 or 3 wheelers,Mix,Always,Yes,No,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,no visit,0,No Activity,no activity,1,1,#REF!
777,Alone/Same Age,Alone/Same Age,Child,1,0,0,0,0,1,0,Child,Travelling home alone,missing,FALSE,missing,missing,missing,missing,missing,#VALUE!,#VALUE!,12,12,Girl,6,Public,both morning and evening shifts,walk,Walking,Travelled on my own,Alone/Same Age,Alone/Same Age,< 5 mins,15 min or less,Walking,walk,Travelling home alone,Sometime,No,No,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,visit alone,1,There was an activity,activity,1,0,#REF!
737,Merged Parent and Adult,Merged Parent and Adult,Adult,0,0,1,0,0,0,1,Adult,Another adult,missing,FALSE,missing,missing,missing,missing,missing,#VALUE!,#VALUE!,15,15,Girl,10,Private,morning shift only,school bus/van,Four wheelers,Another adult,Another Adult,Merged Parent and Adult,< 5 mins,15 min or less,School Van,4 wheelers,Another adult,Never,No,No,Not Done,Not Done,Not Done,On Your own or with other young person,On Your own or with other young person,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,On Your own or with other young person,Not Done,On Your own or with other young person,visit alone,1,There was an activity,activity,1,1,#REF!
746,Alone/Same Age,Alone/Same Age,Child,1,0,0,0,0,1,0,Child,Travelling home alone,missing,FALSE,missing,missing,missing,missing,missing,#VALUE!,#VALUE!,15,15,Boy,8,Private,morning shift only,walk,Walking,Travelled on my own,Alone/Same Age,Alone/Same Age,missing, ,Cycle,2 or 3 wheelers,Travelling home alone,Sometime,No,No,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,Not Done,With a parent or other adult,visit with adult,2,There was an activity,activity,0,0,#REF!
